pickup_location,dropoff_location,order_time,dispatch_time,estimated_delivery_time,actual_delivery_time,delivery_distance_km,num_items,traffic_level,vehicle_type
Dublin 12,Dublin 2,09-02-2024 19:02,09-02-2024 19:08,09-02-2024 19:19,09-02-2024 19:17,4.95,3,Medium,Car
Dublin 11,Dublin 4,17-02-2024 19:46,17-02-2024 19:57,17-02-2024 20:11,17-02-2024 20:13,8.43,1,Low,Car
Dublin 12,Dublin 11,24-02-2024 06:16,24-02-2024 06:21,24-02-2024 06:49,24-02-2024 06:50,8.84,2,Medium,Van
Dublin 8,Dublin 12,23-01-2024 12:43,23-01-2024 12:56,23-01-2024 13:07,23-01-2024 13:05,4.4,4,Medium,Bike
Dublin 1,Dublin 12,30-01-2024 22:00,30-01-2024 22:03,30-01-2024 22:19,30-01-2024 22:18,5.53,2,Medium,Bike
Dublin 8,Dublin 15,26-01-2024 11:31,26-01-2024 11:40,26-01-2024 11:53,26-01-2024 11:54,8.41,2,Low,Bike
Dublin 11,Dublin 12,20-02-2024 20:48,20-02-2024 21:01,20-02-2024 21:17,20-02-2024 21:18,7.79,4,Low,Car
Dublin 12,Dublin 1,09-01-2024 19:16,09-01-2024 19:21,09-01-2024 19:32,09-01-2024 19:31,6.33,2,Low,Bike
Dublin 15,Dublin 9,13-02-2024 09:51,13-02-2024 10:00,13-02-2024 10:25,13-02-2024 10:25,9.17,2,Medium,Car
Dublin 9,Dublin 12,25-01-2024 23:49,25-01-2024 23:54,26-01-2024 00:16,26-01-2024 00:17,8.19,2,Low,Bike
Dublin 2,Dublin 14,18-01-2024 04:27,18-01-2024 04:31,18-01-2024 04:39,18-01-2024 04:39,3.86,2,Low,Car
Dublin 14,Dublin 15,27-01-2024 02:13,27-01-2024 02:15,27-01-2024 03:10,27-01-2024 03:15,14.09,5,High,Bike
Dublin 8,Dublin 1,18-02-2024 22:50,18-02-2024 22:53,18-02-2024 22:56,18-02-2024 22:56,2.26,1,Low,Car
Dublin 4,Dublin 12,10-01-2024 16:06,10-01-2024 16:20,10-01-2024 16:38,10-01-2024 16:40,7.54,3,Low,Car
Dublin 9,Dublin 4,06-01-2024 00:14,06-01-2024 00:19,06-01-2024 00:39,06-01-2024 00:38,5.74,5,High,Van
Dublin 11,Dublin 12,08-01-2024 01:50,08-01-2024 02:00,08-01-2024 02:29,08-01-2024 02:33,7.95,3,Medium,Bike
Dublin 15,Dublin 8,09-01-2024 02:04,09-01-2024 02:08,09-01-2024 02:23,09-01-2024 02:23,8.87,5,Low,Car
Dublin 15,Dublin 6,17-02-2024 21:34,17-02-2024 21:41,17-02-2024 22:13,17-02-2024 22:15,11.99,1,Medium,Van
Dublin 11,Dublin 8,22-02-2024 02:11,22-02-2024 02:21,22-02-2024 02:30,22-02-2024 02:31,6.04,4,Low,Bike
Dublin 6,Dublin 8,08-01-2024 17:21,08-01-2024 17:24,08-01-2024 17:29,08-01-2024 17:29,2.79,0,Low,Bike
Dublin 11,Dublin 12,24-02-2024 09:12,24-02-2024 09:20,24-02-2024 09:42,24-02-2024 09:42,8.83,3,Low,Car
Dublin 12,Dublin 2,22-01-2024 13:55,22-01-2024 14:10,22-01-2024 14:20,22-01-2024 14:19,5.92,1,Low,Car
Dublin 6,Dublin 11,11-01-2024 18:43,11-01-2024 18:52,11-01-2024 19:14,11-01-2024 19:17,8.56,4,Low,Bike
Dublin 4,Dublin 2,06-01-2024 18:16,06-01-2024 18:19,06-01-2024 18:23,06-01-2024 18:24,1.73,3,Medium,Van
Dublin 8,Dublin 12,12-01-2024 15:39,12-01-2024 15:47,12-01-2024 15:58,12-01-2024 15:58,4.92,0,Medium,Van
Dublin 14,Dublin 12,10-02-2024 04:17,10-02-2024 04:19,10-02-2024 04:33,10-02-2024 04:34,6.87,4,Medium,Car
Dublin 15,Dublin 8,03-01-2024 16:30,03-01-2024 16:32,03-01-2024 16:51,03-01-2024 16:50,10.45,3,Low,Van
Dublin 15,Dublin 1,25-01-2024 20:45,25-01-2024 20:55,25-01-2024 21:12,25-01-2024 21:14,10.19,2,Low,Car
Dublin 12,Dublin 8,17-01-2024 20:28,17-01-2024 20:38,17-01-2024 20:47,17-01-2024 20:47,4.24,0,Medium,Van
Dublin 12,Dublin 9,07-02-2024 12:03,07-02-2024 12:09,07-02-2024 12:38,07-02-2024 12:33,8.25,4,Medium,Bike
Dublin 11,Dublin 12,27-01-2024 13:37,27-01-2024 13:48,27-01-2024 14:09,27-01-2024 14:08,7.32,2,High,Car
Dublin 12,Dublin 2,29-01-2024 23:04,29-01-2024 23:09,29-01-2024 23:17,29-01-2024 23:17,3.93,4,Medium,Car
Dublin 14,Dublin 1,01-03-2024 04:40,01-03-2024 04:54,01-03-2024 05:08,01-03-2024 05:09,5.2,3,Medium,Bike
Dublin 9,Dublin 15,15-02-2024 16:58,15-02-2024 17:09,15-02-2024 17:46,15-02-2024 17:47,9.98,1,Medium,Bike
Dublin 4,Dublin 8,10-02-2024 05:04,10-02-2024 05:19,10-02-2024 05:33,10-02-2024 05:33,3.89,2,Medium,Van
Dublin 15,Dublin 6,15-01-2024 17:58,15-01-2024 18:03,15-01-2024 18:33,15-01-2024 18:31,11.89,1,Medium,Bike
Dublin 2,Dublin 12,12-01-2024 00:36,12-01-2024 00:47,12-01-2024 01:05,12-01-2024 01:07,5.15,4,High,Car
Dublin 14,Dublin 8,08-02-2024 03:39,08-02-2024 03:53,08-02-2024 04:06,08-02-2024 04:06,5.04,4,Medium,Car
Dublin 4,Dublin 11,18-01-2024 16:23,18-01-2024 16:38,18-01-2024 16:58,18-01-2024 17:00,8.91,0,Medium,Bike
Dublin 2,Dublin 8,08-02-2024 02:27,08-02-2024 02:33,08-02-2024 02:38,08-02-2024 02:37,1.41,1,High,Van
Dublin 8,Dublin 15,23-02-2024 02:51,23-02-2024 03:02,23-02-2024 03:35,23-02-2024 03:35,9.71,2,Medium,Car
Dublin 9,Dublin 14,19-02-2024 19:08,19-02-2024 19:15,19-02-2024 19:41,19-02-2024 19:40,8.71,5,Medium,Bike
Dublin 6,Dublin 15,05-02-2024 04:36,05-02-2024 04:40,05-02-2024 05:24,05-02-2024 05:23,12.2,0,High,Bike
Dublin 12,Dublin 11,05-02-2024 11:24,05-02-2024 11:35,05-02-2024 11:52,05-02-2024 11:55,7.24,4,Medium,Bike
Dublin 1,Dublin 4,16-02-2024 01:16,16-02-2024 01:26,16-02-2024 01:36,16-02-2024 01:36,2.77,4,Medium,Van
Dublin 2,Dublin 14,11-02-2024 22:10,11-02-2024 22:11,11-02-2024 22:24,11-02-2024 22:24,4.78,2,Medium,Car
Dublin 4,Dublin 2,13-02-2024 01:37,13-02-2024 01:50,13-02-2024 02:01,13-02-2024 01:59,2.77,2,High,Car
Dublin 2,Dublin 9,18-02-2024 21:42,18-02-2024 21:49,18-02-2024 22:02,18-02-2024 22:02,4.03,1,High,Van
Dublin 12,Dublin 14,04-01-2024 14:25,04-01-2024 14:35,04-01-2024 14:45,04-01-2024 14:45,5.17,4,Low,Van
Dublin 6,Dublin 2,09-02-2024 20:01,09-02-2024 20:03,09-02-2024 20:08,09-02-2024 20:09,2.37,4,Medium,Bike
Dublin 4,Dublin 8,03-01-2024 23:14,03-01-2024 23:15,03-01-2024 23:32,03-01-2024 23:28,4.47,0,Medium,Bike
Dublin 11,Dublin 4,23-01-2024 13:27,23-01-2024 13:36,23-01-2024 13:56,23-01-2024 13:55,8.7,2,Medium,Bike
Dublin 4,Dublin 2,25-02-2024 19:27,25-02-2024 19:41,25-02-2024 19:45,25-02-2024 19:45,1.85,3,Medium,Car
Dublin 15,Dublin 4,22-01-2024 11:13,22-01-2024 11:21,22-01-2024 12:00,22-01-2024 11:59,14.65,3,Medium,Car
Dublin 12,Dublin 8,20-02-2024 02:03,20-02-2024 02:06,20-02-2024 02:12,20-02-2024 02:11,4,1,Low,Van
Dublin 8,Dublin 11,24-01-2024 02:20,24-01-2024 02:28,24-01-2024 02:49,24-01-2024 02:51,4.94,2,High,Bike
Dublin 12,Dublin 2,22-01-2024 22:11,22-01-2024 22:18,22-01-2024 22:31,22-01-2024 22:33,5.26,4,Medium,Van
Dublin 8,Dublin 1,01-03-2024 05:55,01-03-2024 06:02,01-03-2024 06:05,01-03-2024 06:05,1.63,2,Low,Car
Dublin 1,Dublin 15,15-02-2024 13:07,15-02-2024 13:21,15-02-2024 14:01,15-02-2024 14:04,10.12,5,High,Car
Dublin 15,Dublin 9,21-01-2024 06:25,21-01-2024 06:36,21-01-2024 07:01,21-01-2024 07:02,10.4,2,Low,Car
Dublin 4,Dublin 2,27-02-2024 10:42,27-02-2024 10:53,27-02-2024 10:58,27-02-2024 10:58,3.03,0,Low,Bike
Dublin 9,Dublin 4,09-01-2024 12:53,09-01-2024 13:08,09-01-2024 13:17,09-01-2024 13:18,5.36,8,Low,Bike
Dublin 4,Dublin 14,03-02-2024 15:13,03-02-2024 15:22,03-02-2024 15:31,03-02-2024 15:31,2.84,1,Medium,Bike
Dublin 12,Dublin 8,01-02-2024 03:56,01-02-2024 04:09,01-02-2024 04:14,01-02-2024 04:14,3.18,1,Low,Bike
Dublin 6,Dublin 11,21-02-2024 01:28,21-02-2024 01:34,21-02-2024 01:52,21-02-2024 01:48,8.28,5,Low,Bike
Dublin 2,Dublin 12,03-02-2024 21:11,03-02-2024 21:22,03-02-2024 21:39,03-02-2024 21:39,5.63,5,Medium,Bike
Dublin 9,Dublin 2,22-01-2024 14:47,22-01-2024 14:55,22-01-2024 15:03,22-01-2024 15:03,5.13,5,Low,Car
Dublin 15,Dublin 6,29-02-2024 06:49,29-02-2024 06:51,29-02-2024 07:22,29-02-2024 07:20,11.76,2,Medium,Car
Dublin 11,Dublin 2,14-01-2024 01:20,14-01-2024 01:21,14-01-2024 01:45,14-01-2024 01:46,6.26,4,High,Car
Dublin 2,Dublin 6,19-02-2024 06:17,19-02-2024 06:20,19-02-2024 06:26,19-02-2024 06:26,2.16,4,Medium,Van
Dublin 14,Dublin 11,23-02-2024 19:03,23-02-2024 19:15,23-02-2024 19:37,23-02-2024 19:38,10.56,3,Medium,Car
Dublin 12,Dublin 15,07-02-2024 11:32,07-02-2024 11:37,07-02-2024 11:57,07-02-2024 11:56,9.1,2,Low,Car
Dublin 6,Dublin 9,10-01-2024 09:02,10-01-2024 09:13,10-01-2024 09:27,10-01-2024 09:25,6.72,4,Medium,Car
Dublin 1,Dublin 11,26-01-2024 10:40,26-01-2024 10:44,26-01-2024 10:57,26-01-2024 10:55,5.06,2,High,Van
Dublin 2,Dublin 6,28-02-2024 17:49,28-02-2024 18:00,28-02-2024 18:08,28-02-2024 18:08,2.07,6,Medium,Car
Dublin 6,Dublin 4,21-02-2024 17:20,21-02-2024 17:24,21-02-2024 17:29,21-02-2024 17:29,3.14,3,Low,Bike
Dublin 6,Dublin 9,14-01-2024 18:20,14-01-2024 18:33,14-01-2024 19:07,14-01-2024 19:08,6.64,5,High,Van
Dublin 4,Dublin 14,24-01-2024 03:33,24-01-2024 03:46,24-01-2024 03:53,24-01-2024 03:54,3.89,8,Low,Bike
Dublin 1,Dublin 9,22-01-2024 23:46,22-01-2024 23:56,23-01-2024 00:09,23-01-2024 00:11,3.83,4,Medium,Bike
Dublin 11,Dublin 14,11-01-2024 16:16,11-01-2024 16:28,11-01-2024 16:50,11-01-2024 16:50,10.4,2,Low,Bike
Dublin 15,Dublin 2,11-02-2024 11:25,11-02-2024 11:34,11-02-2024 11:55,11-02-2024 11:56,11.24,1,Low,Car
Dublin 14,Dublin 8,12-02-2024 00:36,12-02-2024 00:47,12-02-2024 01:12,12-02-2024 01:09,5.3,5,High,Car
Dublin 11,Dublin 2,14-02-2024 23:00,14-02-2024 23:12,14-02-2024 23:42,14-02-2024 23:41,6.41,5,High,Bike
Dublin 15,Dublin 4,07-01-2024 07:29,07-01-2024 07:32,07-01-2024 07:57,07-01-2024 07:58,13.7,1,Low,Car
Dublin 9,Dublin 11,24-02-2024 17:01,24-02-2024 17:10,24-02-2024 17:17,24-02-2024 17:17,3.45,3,Low,Car
Dublin 2,Dublin 14,20-01-2024 21:43,20-01-2024 21:50,20-01-2024 22:04,20-01-2024 22:03,4.48,0,Medium,Bike
Dublin 12,Dublin 11,08-02-2024 04:44,08-02-2024 04:56,08-02-2024 05:15,08-02-2024 05:15,8.86,4,Low,Car
Dublin 9,Dublin 4,13-02-2024 12:03,13-02-2024 12:05,13-02-2024 12:20,13-02-2024 12:19,5.28,3,Low,Car
Dublin 9,Dublin 4,20-02-2024 23:24,20-02-2024 23:25,20-02-2024 23:41,20-02-2024 23:43,6.46,2,Medium,Bike
Dublin 2,Dublin 11,02-02-2024 12:26,02-02-2024 12:40,02-02-2024 12:55,02-02-2024 12:55,6.6,3,Medium,Van
Dublin 1,Dublin 8,24-02-2024 23:36,24-02-2024 23:41,24-02-2024 23:46,24-02-2024 23:46,2.15,2,Medium,Bike
Dublin 12,Dublin 6,11-01-2024 04:24,11-01-2024 04:30,11-01-2024 04:46,11-01-2024 04:45,4.21,4,High,Car
Dublin 15,Dublin 6,09-02-2024 09:24,09-02-2024 09:38,09-02-2024 10:05,09-02-2024 10:06,12.08,4,Medium,Car
Dublin 14,Dublin 1,25-02-2024 18:22,25-02-2024 18:37,25-02-2024 18:52,25-02-2024 18:52,6.33,2,Medium,Bike
Dublin 8,Dublin 9,02-02-2024 06:49,02-02-2024 06:50,02-02-2024 07:03,02-02-2024 07:05,4.96,2,Low,Car
Dublin 2,Dublin 4,27-02-2024 23:11,27-02-2024 23:12,27-02-2024 23:16,27-02-2024 23:16,1.82,3,Low,Bike
Dublin 12,Dublin 9,15-01-2024 15:51,15-01-2024 15:57,15-01-2024 16:23,15-01-2024 16:21,8.67,5,Medium,Van
Dublin 15,Dublin 2,06-01-2024 02:55,06-01-2024 02:58,06-01-2024 03:18,06-01-2024 03:17,11.02,1,Low,Car
Dublin 8,Dublin 12,08-02-2024 22:16,08-02-2024 22:24,08-02-2024 22:38,08-02-2024 22:37,4.9,2,Medium,Bike
Dublin 14,Dublin 2,01-02-2024 18:02,01-02-2024 18:09,01-02-2024 18:17,01-02-2024 18:15,4.4,1,Low,Car
Dublin 14,Dublin 8,05-01-2024 11:12,05-01-2024 11:16,05-01-2024 11:27,05-01-2024 11:26,4.39,4,Medium,Bike
